PAIS,CONTINENTE,EXP_TOTAL,IMP_TOTAL,BALANCE_PROM,EXP_PROM,IMP_PROM,TC_PROM,N_MESES,CLUSTER
Afganistán,Asia,10466000,80019000,-176530.4568527919,26563.451776649745,203093.90862944163,12.95999035532995,394,0
Albania,Europa,47849000,117689000,-177258.88324873097,121444.16243654823,298703.0456852792,12.95999035532995,394,0
Alemania,Europa,124835946000,360733303000,-598724256.3451777,316842502.53807104,915566758.8832487,12.95999035532995,394,3
Andorra,Europa,9730000,19419000,-24591.370558375635,24695.431472081218,49286.802030456856,12.95999035532995,394,0
Angola,África,725835000,193514000,1351068.5279187816,1842220.812182741,491152.2842639594,12.95999035532995,394,0
Anguilla,América del Norte,8701000,5039000,9294.416243654823,22083.756345177666,12789.340101522843,12.95999035532995,394,0
Antigua y Barbuda,América del Norte,67898000,18443000,125520.30456852792,172329.94923857867,46809.64467005076,12.95999035532995,394,0
Antillas Holandesas,Europa,5039416000,1770045000,8297895.939086295,12790395.939086294,4492500.0,12.95999035532995,394,0
Arabia Saudita,Asia,6372054000,7630846000,-3194903.553299492,16172725.888324874,19367629.441624366,12.95999035532995,394,0
Argelia,África,3990534000,1955758000,5164406.091370558,10128258.883248731,4963852.791878172,12.95999035532995,394,0
Argentina,América del Sur,30022259000,27999062000,5135017.766497462,76198626.90355329,71063609.13705584,12.95999035532995,394,0
Armenia,Asia,15369000,36634000,-53972.081218274114,39007.61421319797,92979.69543147208,12.95999035532995,394,0
Aruba,América del Norte,8857716000,615874000,20918380.7106599,22481512.69035533,1563131.9796954314,12.95999035532995,394,0
Australia,Oceanía,20341382000,16624929000,9432621.827411167,51627873.0964467,42195251.26903553,12.95999035532995,394,0
Austria,Europa,3391826000,29861135000,-67180987.30964467,8608695.431472082,75789682.74111675,12.95999035532995,394,0
Azerbaiyán,Asia,130009000,7435000,311101.5228426396,329972.08121827414,18870.55837563452,12.95999035532995,394,0
Bahrein,Asia,334831000,1748646000,-3588362.9441624368,849824.8730964467,4438187.817258883,12.95999035532995,394,0
Bangladesh,Asia,216821000,6388974000,-15665362.944162436,550307.1065989848,16215670.050761422,12.95999035532995,394,0
Barbados,América del Norte,396651000,23323000,947532.9949238579,1006728.4263959391,59195.43147208122,12.95999035532995,394,0
Belice,América del Norte,3616737000,182003000,8717598.984771574,9179535.532994924,461936.54822335026,12.95999035532995,394,0
Benin,África,31058000,41122000,-25543.147208121827,78827.41116751269,104370.55837563451,12.95999035532995,394,0
Bermuda,América del Norte,870806000,33391000,2125418.781725888,2210167.5126903555,84748.730964467,12.95999035532995,394,0
Bhutan,Asia,2008000,7847000,-14819.796954314721,5096.446700507614,19916.243654822334,12.95999035532995,394,0
Bielorrusia,Europa,25999000,392850000,-931093.9086294416,65987.30964467005,997081.2182741116,12.95999035532995,394,0
Birmania,Asia,71336000,795422000,-1837781.725888325,181055.8375634518,2018837.5634517767,12.95999035532995,394,0
Bolivia,América del Sur,3172541000,1249997000,4879553.299492386,8052134.517766497,3172581.218274112,12.95999035532995,394,0
Bosnia y Herzegovina,Europa,14910000,298337000,-719357.8680203046,37842.63959390863,757200.5076142132,12.95999035532995,394,0
Botswana,África,7834000,6236000,4055.8375634517765,19883.248730964468,15827.41116751269,12.95999035532995,394,0
Brasil,América del Sur,85142374000,157537488000,-183743944.16243654,216097395.9390863,399841340.10152286,12.95999035532995,394,0
Brunéi,Asia,58575000,182267000,-313939.0862944162,148667.51269035533,462606.5989847716,12.95999035532995,394,0
Bulgaria,Europa,654703000,2130382000,-3745378.1725888327,1661682.7411167512,5407060.913705584,12.95999035532995,394,0
Burkina Faso,África,65314000,7661000,146327.41116751268,165771.57360406092,19444.162436548224,12.95999035532995,394,0
Burundi,África,6667000,1091000,14152.284263959391,16921.319796954314,2769.035532994924,12.95999035532995,394,0
Bélgica,Europa,31714479000,27699028000,10191500.0,80493601.52284265,70302101.52284265,12.95999035532995,394,0
Cabo Verde,África,3961000,7614000,-9271.573604060914,10053.299492385786,19324.8730964467,12.95999035532995,394,0
Camboya,Asia,118889000,3509200000,-8604850.253807107,301748.730964467,8906598.984771574,12.95999035532995,394,0
Camerún,África,143930000,192345000,-122880.71065989848,365304.5685279188,488185.27918781724,12.95999035532995,394,0
Canadá,América del Norte,269504710000,240968343000,72427327.41116752,684022106.5989847,611594779.1878172,12.95999035532995,394,0
Chad,África,23269000,7051000,41162.43654822335,59058.37563451777,17895.939086294416,12.95999035532995,394,0
Chequia,Europa,5083157000,23138418000,-45825535.532994926,12901413.705583757,58726949.23857868,12.95999035532995,394,0
Chile,América del Sur,39073237000,46544227000,-18961903.553299494,99170652.28426395,118132555.83756346,12.95999035532995,394,0
China,Asia,128424900000,1492362317000,-3461770093.9086294,325951522.84263957,3787721616.751269,12.95999035532995,394,2
Chipre,Asia,226887000,185385000,105335.02538071066,575855.3299492386,470520.3045685279,12.95999035532995,394,0
Ciudad del Vaticano,Europa,250000,2726000,-6284.2639593908625,634.5177664974619,6918.781725888325,12.95999035532995,394,0
Colombia,América del Sur,77512197000,28903692000,123371840.10152285,196731464.46700507,73359624.36548224,12.95999035532995,394,0
Comoras,África,1514000,11608000,-25619.289340101524,3842.6395939086296,29461.928934010153,12.95999035532995,394,0
"Congo, República del",África,192300000,181790000,26675.1269035533,488071.0659898477,461395.93908629444,12.95999035532995,394,0
Corea del Norte,Asia,126556000,1948767000,-4624901.015228426,321208.1218274112,4946109.137055838,12.95999035532995,394,0
Corea del Sur,Asia,67035146000,347873010000,-712786456.8527919,170139964.46700507,882926421.3197969,12.95999035532995,394,3
Costa Rica,América del Norte,21889727000,31044475000,-23235401.015228428,55557682.741116755,78793083.75634518,12.95999035532995,394,0
Croacia,Europa,252602000,717035000,-1178763.9593908628,641121.8274111676,1819885.7868020304,12.95999035532995,394,0
Cuba,América del Norte,10027644000,625409000,23863540.609137055,25450873.0964467,1587332.4873096447,12.95999035532995,394,0
Curaçao,América del Norte,226175000,389205000,-413781.7258883249,574048.2233502538,987829.9492385787,12.95999035532995,394,0
Côte d'Ivoire,África,274052000,1923072000,-4185329.949238579,695563.4517766498,4880893.401015229,12.95999035532995,394,0
Dinamarca,Europa,3695992000,15742147000,-30573997.461928934,9380690.35532995,39954687.81725888,12.95999035532995,394,0
Djibouti,África,6403000,1923000,11370.558375634519,16251.269035532994,4880.710659898477,12.95999035532995,394,0
